SMILES_HBA,Tmelt_HBA,SMILES_HBD,Tmelt_HBD,X_HBA,X_HBD,Mixed_Tmelt 
Cl[Fe](Cl)Cl,307,C[N+](C)(C)CCO.[Cl-],302,0.67,0.33,21
Br[Zn]Br,394,CC(=O)[O-].C[N+](C)(C)CCO,51,0.67,0.33,48
Br[Zn]Br,294,C[N+](C)(C)CCO.[Cl-],302,0.67,0.33,38
Cl[Zn]Cl,290,C[N+](C)(C)CCCl.Cl,240,0.67,0.33,23
Cl[Zn]Cl,290,C[N+](C)(C)CCO.[Cl-],302,0.50,0.50,41.62
Cl[Zn]Cl,290,C[N+](C)(C)CCO.[Cl-],302,0.67,0.33,24
Cl[Zn]Cl,290,C[N+](C)(C)CCO.[Cl-],302,0.80,0.20,45.82
Cl[Zn]Cl,290,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],210,0.75,0.25,65.83
Cl[Zn]Cl,290,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],210,0.80,0.20,67.12
Cl[Zn]Cl,290,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],210,0.86,0.14,72.14
Cl[Zn]Cl,290,CCN(CC)OCC.Cl ,133,0.50,0.50,40.24
Cl[Zn]Cl,290,CCN(CC)OCC.Cl ,133,0.75,0.25,37.32
Cl[Zn]Cl,290,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],100,0.67,0.33,67.8
Cl[Zn]Cl,290,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],100,0.80,0.20,68.4
Cl[Zn]Cl,290,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],100,0.86,0.14,71.84
O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],30,C[N+](C)(C)CCO.[Cl-],302,0.80,0.20,16.8
O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],30,C[N+](C)(C)CCO.[Cl-],302,0.86,0.14,20.65
