,"Tmelt, K",Smiles#1,Smiles#2,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),T#1,T#2,MW,HBD,fr_Al_COO,fr_Ar_COO,fr_Ar_N,fr_Ar_OH,fr_NH0,fr_NH1,fr_amide,AROM,ALERTS,n_HM
0,294.15,Cl[Fe](Cl)Cl,C[N+](C)(C)CCO.[Cl-],,,0.67,0.33,580.15,575.15,154.75326,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.67
1,321.15,Br[Zn]Br,CC(=O)[O-].C[N+](C)(C)CCO,,,0.67,0.33,667.15,324.15,204.74426999999997,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.67
2,311.15,Br[Zn]Br,C[N+](C)(C)CCO.[Cl-],,,0.67,0.33,567.15,575.15,196.95923999999997,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.67
3,296.15,Cl[Zn]Cl,C[N+](C)(C)CCCl.Cl,,,0.67,0.33,563.15,513.15,143.81472000000002,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.33,0.67
4,314.77,Cl[Zn]Cl,C[N+](C)(C)CCO.[Cl-],,,0.5,0.5,563.15,575.15,137.96099999999998,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5
5,297.15,Cl[Zn]Cl,C[N+](C)(C)CCO.[Cl-],,,0.67,0.33,563.15,575.15,137.3949,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.67
6,318.97,Cl[Zn]Cl,C[N+](C)(C)CCO.[Cl-],,,0.8,0.2,563.15,575.15,136.962,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.8
7,338.98,Cl[Zn]Cl,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],,,0.75,0.25,563.15,483.15,195.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75
8,340.27,Cl[Zn]Cl,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],,,0.8,0.2,563.15,483.15,183.2884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.0,0.8
9,345.29,Cl[Zn]Cl,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],,,0.86,0.14,563.15,483.15,169.19068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,1.0,0.86
