Unnamed: 0,Number of components,Type of DES,Component#1,Smiles#1,T#1,Component#2,Smiles#2,T#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Reference (DOI)
0,2,,,Cl[Fe](Cl)Cl,580.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.67,0.33,294.15,
1,2,,,Br[Zn]Br,667.15,,CC(=O)[O-].C[N+](C)(C)CCO,324.15,0.67,0.33,321.15,
2,2,,,Br[Zn]Br,567.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.67,0.33,311.15,
3,2,,,Cl[Zn]Cl,563.15,,C[N+](C)(C)CCCl.Cl,513.15,0.67,0.33,296.15,
4,2,,,Cl[Zn]Cl,563.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.5,0.5,314.77,
5,2,,,Cl[Zn]Cl,563.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.67,0.33,297.15,
6,2,,,Cl[Zn]Cl,563.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.8,0.2,318.97,
7,2,,,Cl[Zn]Cl,563.15,,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],483.15,0.75,0.25,338.98,
8,2,,,Cl[Zn]Cl,563.15,,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],483.15,0.8,0.2,340.27,
9,2,,,Cl[Zn]Cl,563.15,,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],483.15,0.86,0.14,345.29,
10,2,,,Cl[Zn]Cl,563.15,,CCN(CC)OCC.Cl ,406.15,0.5,0.5,313.39,
11,2,,,Cl[Zn]Cl,563.15,,CCN(CC)OCC.Cl ,406.15,0.75,0.25,310.47,
12,2,,,Cl[Zn]Cl,563.15,,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],373.15,0.67,0.33,340.95,
13,2,,,Cl[Zn]Cl,563.15,,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],373.15,0.8,0.2,341.54999999999995,
14,2,,,Cl[Zn]Cl,563.15,,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],373.15,0.86,0.14,344.99,
15,2,,,O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],303.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.8,0.2,289.95,
16,2,,,O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],303.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.86,0.14,293.79999999999995,
17,2,,,O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],303.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.9,0.1,297.25,
18,2,,,O.O.O.O.O.O.Cl[Mg]Cl,390.15,,C[N+](C)(C)CCO.[Cl-],575.15,0.67,0.33,283.15,
19,2,,,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],498.15,,C(C(CO)O)O,290.95,0.07,0.93,249.39,
20,2,,,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],498.15,,C(COCCOCCO)O ,265.95,0.08,0.92,253.63,
21,2,,,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],456.15,,CC(O)=O,289.15,0.33,0.67,253.15,
22,2,,,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],456.15,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,429.15,0.5,0.5,299.15,
23,2,,,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],456.15,,CC1=CC=C(C=C1)S(=O)(=O)O,379.15,0.33,0.67,275.15,
24,2,,,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],456.15,,C(=O)(N)N,405.85,0.33,0.67,309.15,
25,2,,,[B-](F)(F)(F)F.CC[N+](CC)(CC)CC1=CC=CC=C1,388.15,,C(=O)(N)N,405.85,0.33,0.67,332.15,
26,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,429.15,0.3,0.7,313.35,
27,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,429.15,0.4,0.6,306.28,
28,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,429.15,0.5,0.5,304.15,
29,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,429.15,0.6,0.4,306.28,
30,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(=O)(C(=O)O)O,462.15,0.3,0.7,297.79999999999995,
31,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(=O)(C(=O)O)O,462.15,0.4,0.6,278.71,
32,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(=O)(C(=O)O)O,462.15,0.6,0.4,301.69,
33,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,CC1=CC=C(C=C1)S(=O)(=O)O,376.15,0.2,0.8,290.37,
34,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,CC1=CC=C(C=C1)S(=O)(=O)O,376.15,0.3,0.7,272.15,
35,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,CC1=CC=C(C=C1)S(=O)(=O)O,376.15,0.4,0.6,276.23,
36,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,CC1=CC=C(C=C1)S(=O)(=O)O,376.15,0.5,0.5,287.54999999999995,
37,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,CC1=CC=C(C=C1)S(=O)(=O)O,376.15,0.6,0.4,290.02,
38,2,,,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],512.15,,C(=O)(N)N,405.85,0.33,0.67,299.15,
39,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(CO)O,260.25,0.25,0.75,321.04999999999995,
