Component#1,Component#2,Melting temperature
5-methyl-2-propan-2-ylphenol,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",34
lithium;nitrate,N-methylacetamide,32
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,27
tetraethylazanium;chloride,dodecanoic acid,24
tetrapropylazanium;chloride,dodecanoic acid,22
tetraethylazanium;chloride,hexadecanoic acid,21
2-hydroxyethyl(trimethyl)azanium;chloride,1-butyl-1-methylpyrrolidin-1-ium;chloride,20
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,20
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,19
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,19
